Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
267,5601 Vine St,Fast Food Restaurant Haddington,Philadelphia,US,39.965623,-75.231926,McDonald's,19139,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com/"
268,4200 N Broad St,Fast Food Restaurant,Philadelphia,US,40.016922,-75.149492,McDonald's,19140,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
269,4200 N Broad St,Fast Food Restaurants,Philadelphia,US,40.016922,-75.149492,McDonald's,19140,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
270,3100 W Allegheny Ave,Fast Food Restaurant and Burger Joint Allegheny West,Philadelphia,US,40.00509,-75.180047,McDonald's,19132,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com/"
271,2109 N Broad St,Fast Food Restaurant North Philadelphia,Philadelphia,US,39.984838,-75.156546,McDonald's,19122,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com/"
299,490 Central Ave,Fast Food Restaurant,Johnstown,US,40.2996,-78.9115,Sheetz,15902,PA,http://www.sheetz.com
307,4221 Ohio River Blvd,Fast Food Restaurant,Pittsburgh,US,40.48643,-80.05481,BeanThru,15202,PA,http://www.beanthru.com
315,7855 Perry Hwy,Fast Food,Erie,US,42.071115,-80.039596,McDonald's,16509,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
316,520 3rd Ave,Fast Food Restaurants,Pittsburgh,US,40.437239,-79.997301,Chinatown Inn,15219,PA,"http://chinatowninn.net,http://www.chinatowninn.net"
320,4371 Richmond St,Fast Food Restaurants,Philadelphia,US,39.996712,-75.074352,Wawa,19137,PA,"http://www.wawa.com,https://www.wawa.com"
323,430 State St,Fast Food Restaurants,Erie,US,42.130325,-80.086874,McDonald's,16501,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJC0dodFjNyWqMaDbBRVaDTAUg7Bayu-1bGmKcnaiVIiiMT8Z_ZFW66LGuWdS6Ag7smES8SJj7VMBhNsRcvRUzF6xJ6x3OPiuEGWcPuDGAVckYVS9_mOWWNPga-BDBYoo_oL83RdnhQAXencRmIJsakLD_zFE8ePWCkuyRWVbK-LMB4rTIjLFgOXEfQPnl6-YXxxBntUY2TDDULrnLTAVk1Kg8ZbJGv0rw-s2OFbertgI3reewYOi_XvNNcdHZJX8Y2fajbkIE9qGwNXTVXu0woK19QlMPX6THBM_IoECxblKoulnfRmgm6qgJFHrx-rnoz4y84VRgV5ZyWk9dK-zq9VAaxYiuitUP&placement=listing_profile&cs_user=unknown&cs_session=7eeed4d4b69eb9c98bc32bdc72dce3f825df0598"
